service_id,date,exception_type
3,20230324,1
1,20230324,2
1,20230407,2
3,20230407,1
3,20230501,1
1,20230501,2
1,20230525,2
3,20230525,1
3,20230617,1
2,20230617,2
3,20230620,1
1,20230620,2
1,20230821,2
3,20230821,1
1,20231013,2
3,20231013,1
3,20231016,1
1,20231016,2
1,20231120,2
3,20231120,1
3,20231208,1
1,20231208,2
3,20231225,1
1,20231225,2
