stop_id,stop_name,stop_lat,stop_lon
MA-00000228,La Rioja 4999,-31.392316062024015,-64.24400210380556
MA-00000929,Avenida Idelfonso Muñecas 4497,-31.480757805447933,-64.13705170154573
MA-00000274,Juan de la Guardia 4653,-31.451455820378236,-64.13872003555299
MA-00000258,Zorzal 505,-31.385149374867805,-64.25987005233766
MA-00000239,Mariano Boedo 2107,-31.434338927145564,-64.11681175231935
MA-00000574,Guillermo Furlong 8772,-31.317476240755934,-64.25894737243654
MA-00000496,Bulevar Juan Domingo Perón 712,-31.42474935481985,-64.17177021503448
MA-00000420,Fernando Fader 3763,-31.37756308112907,-64.22886304557323
C7985,Pasco 219,-31.395553485104656,-64.25827145576478
MA-00000951,Pública I S/N,-31.45731994587696,-64.26415353019317
MA-00000933,Dirección desconocida,-31.47043635360619,-64.1429364681244
MA-00000923,Avenida El Quebracho 4225,-31.47704294592664,-64.14116621017457
MA-00000915,General Manuel Oribe 2502,-31.37368153788809,-64.20630097389223
MA-00000864,José Santos Chocano 4502,-31.35884421683609,-64.15444659518857
MA-00000853,Coronel José Javier Diaz 85,-31.445318812601407,-64.19699370861055
MA-00000840,Tilcara 800,-31.474114873907318,-64.21424031257631
MA-00000830,Enrique Muiño 101,-31.36900973339448,-64.16715145111085
MA-00000790,Agustín Garzón 3526,-31.426429317347125,-64.13936376571657
MA-00000671,Avenida Rafael Núñez 4235,-31.369339515447997,-64.23243641853334
MA-00000637,72 Chateau Reserva,-31.37134566467379,-64.25069689750673
MA-00000627,Juan de Urdinola 4751,-31.450824290035957,-64.1372072696686
MA-00000616,Plaza Villa Boedo,-31.432727764456455,-64.1081213951111
MA-00000591,Avenida Libertador San Martín 449,-31.558031829016166,-64.19071197509767
MA-00000581,Molino De Torres S/N,-31.348593055441082,-64.30302143096925
MA-00000469,Avenida Circunvalación 4251,-31.46434177049276,-64.21244859695436
MA-00000448,Juan Vucetich 6301,-31.464936604634595,-64.09946322441102
MA-00000442,Simbolar 2199,-31.43756116944777,-64.12902116775513
MA-00000436,Avenida Colón 3706,-31.399610409318143,-64.22874569892885
MA-00000431,Avenida Rafael Núñez 3758,-31.37507387390736,-64.22712564468385
MA-00000405,Avenida Armada Argentina 25,-31.450952426971426,-64.20114040374757
p32_ida_a1,Avenida Armada Argentina 460,-31.454585951399135,-64.20774936676027
MA-00000350,Cleto Aguirre 6022,-31.409225443603315,-64.26059961318971
MA-00000270,Valencia 1464,-31.43435723565336,-64.16679739952089
MA-00000261,Obispo Castellano 230,-31.412585894677907,-64.13884878158571
MA-00000264,López y Planes 3147,-31.421586182930994,-64.14333343505861
MA-00000413,Luis José de Tejeda 4463,-31.367395731271568,-64.23648219555616
MA-00000650,Bv. Enrique Barros S/N,-31.43941024710868,-64.19240713119508
MA-00000576,Antucura 10058,-31.307682236474374,-64.28700327873231
MA-00000873,Azor Grimaut 3099,-31.35883573210474,-64.21296626329422
C4028,Avenida General Paz 549,-31.408127,-64.183772
MA-00000952,Pública I S/N,-31.457331594244184,-64.26224023391404
MA-00000925,Avenida Idelfonso Muñecas 3821,-31.480680032806866,-64.14735674858095
C8056,Rodríguez del Busto 3902,-31.367285515500498,-64.22072220593691
